,animal,session_clear,heart_rate,gsr,delay,stamp,change,start,session,end,session_se,calculated,hr_ref,hr_dif
131,Spider,46,96.14814815,111.7058824,1.038461538,,0.038461538,0,46,0.038461538,46,0.037037037,101.4867424,-5.338594276
132,Spider,49,62.86363636,57.75,1.03125,,0.03125,0,49,0.03125,49,0.03030303,68.71212121,-5.848484848
133,Spider,50,82.16666667,26.33333333,1,,0.083333333,0,50,0.083333333,50,0,83.33143939,-1.164772727
134,Spider,51,92.875,77.35,1.025641026,,0.025641026,0,51,0.025641026,51,0.025,85.86363636,7.011363636
135,Spider,52,87.24444444,11.24137931,1,,0.022222222,0,52,0.022222222,52,0,101.23168,-13.98723554
136,Spider,54,88.18410645,498.1629994,1.642857143,,0.010204082,0,54,0.010204082,54,0.3875,77.58333333,10.60077311
137,Spider,55,71.58139535,285.9047619,1,,0.023255814,0,55,0.023255814,55,0,84.52840955,-12.9470142
138,Spider,57,87.43427477,216.1710912,3.166666667,,0.166666667,0,57,0.166666667,57,0.684210526,93.82884615,-6.39457138
139,Spider,58,91.6875,305.8157895,1.047619048,,0.023809524,0,58,0.023809524,58,0.045454545,98.75,-7.0625
140,Spider,59,69.48717949,130.0512821,1,,0.025641026,0,59,0.025641026,59,0,71.66666667,-2.179487179
141,Spider,60,98.77539063,164.7191506,1.95,,0.05,0,60,0.05,60,0.487179487,96.25047348,2.52491714
142,Spider,63,86.62162162,349.3716216,1.088235294,,0.029411765,0,63,0.029411765,63,0.081081081,85.86363636,0.757985258
143,Spider,64,76.98979592,90.45918367,1.020833333,,0.020833333,0,64,0.020833333,64,0.020408163,68.36363636,8.626159555
144,Spider,66,82.37333171,197.7733333,18.75,,0.25,0,66,0.25,66,0.946666667,69.66666667,12.70666504
145,Spider,67,82.03703704,107.745,1.058823529,,0.019607843,0,67,0.019607843,67,0.055555556,81.75757576,0.279461279
146,Spider,71,80.84889915,225.5298887,1.434782609,,0.043478261,0,71,0.043478261,71,0.303030303,85.28030303,-4.431403883
147,Spider,72,81.91860463,378.6627907,2.047619048,,0.047619048,0,72,0.047619048,72,0.511627907,78.97727273,2.941331902
148,Spider,73,68.62179487,211.9807692,1.026315789,,0.026315789,0,73,0.026315789,73,0.025641026,76.93939394,-8.317599068
149,Spider,74,90.26851852,145.8796296,1.058823529,,0.019607843,0,74,0.019607843,74,0.055555556,83.90151515,6.367003367
150,Spider,75,86.16215556,69.94117647,1.48,,0.04,0,75,0.04,75,0.324324324,77.72537879,8.436776776
151,Spider,77,69.77777778,182.2111111,1.046511628,,0.023255814,0,77,0.023255814,77,0.044444444,64.45454545,5.323232323
152,Spider,78,73.50833333,61.57017544,1.016949153,,0.016949153,0,78,0.016949153,78,0.016666667,65.98484848,7.523484848
153,Spider,79,84.98816964,50.01785714,2.692307692,,0.076923077,0,79,0.076923077,79,0.628571429,86.86538462,-1.877214973
154,Spider,80,84.75,302.8947368,1.147058824,,0.029411765,0,80,0.029411765,80,0.128205128,87.05681818,-2.306818182
155,Spider,81,90.54403409,365.4918269,1.245283019,,0.018867925,0,81,0.018867925,81,0.196969697,87.27272727,3.271306818
156,Spider,82,112.25,232.7499999,2.571428571,,0.071428571,0,82,0.071428571,82,0.611111111,109.9163462,2.33365382
157,Spider,83,93.07142857,82.14285714,4.666666667,,0.333333333,0,83,0.333333333,83,0.785714286,92.60984848,0.461580087
158,Spider,84,94.15,3.777777778,1.034482759,,0.034482759,0,84,0.034482759,84,0.033333333,97.97253788,-3.822537879
159,Spider,85,95.73842593,148.4733796,1.35,,0.05,0,85,0.05,85,0.259259259,84.76515152,10.97327441
160,Spider,86,86.29772727,35.54716981,1.078431373,,0.019607843,0,86,0.019607843,86,0.072727273,83.02840909,3.269318182
161,Spider,87,80.12622549,178.527439,1.186046512,,0.023255814,0,87,0.023255814,87,0.156862745,76.09848485,4.027740642
162,Spider,88,76.43333333,32.93103448,1,,0.033333333,0,88,0.033333333,88,0,74.28787879,2.145454545
163,Spider,90,76.53571429,0.035714286,1,,0.035714286,0,90,0.035714286,90,0,72.96969697,3.566017316
164,Spider,91,82.53333333,-0.5,1,,0.033333333,0,91,0.033333333,91,0,80.92045455,1.612878788
